horizon,mse,rmse,mae,mape,mdape,smape,coverage
18 days,2110.5022505977704,45.94020298820816,37.298123232865436,0.05308174277577979,0.05322323612800681,0.05125108563023398,0.4444444444444444
19 days,2113.520713447321,45.97304333462514,37.44464960115168,0.05334099210181288,0.05322323612800681,0.05150657778291935,0.4444444444444444
20 days,2124.6333928143445,46.093745701714724,37.88443831063264,0.05402981347691709,0.05322323612800681,0.05217722802582896,0.4444444444444444
21 days,2286.2748318001713,47.815006345290506,40.10114258380186,0.05702677082014608,0.057803373379865915,0.05502400113152849,0.3888888888888889
22 days,2318.989546225963,48.15588797048563,40.68792452084624,0.057617650230406534,0.057803373379865915,0.0555299164334344,0.3888888888888889
23 days,2262.625594874,47.56706418178444,39.88795983144422,0.056399980064917546,0.05322323612800681,0.05437039746199843,0.4444444444444444
24 days,2399.183705378836,48.98146287503912,41.279095333786955,0.058334758976088294,0.057803373379865915,0.05604457630944229,0.4444444444444444
25 days,2387.35643516506,48.86058160895202,40.88138476726502,0.05780669410699081,0.057803373379865915,0.05554171109987756,0.4444444444444444
26 days,2160.2688325461922,46.478692242211295,37.78510018989971,0.05385511046186034,0.05049033715759664,0.0517729736683645,0.5
27 days,2211.325982955703,47.0247379892297,38.83461399792924,0.05548394829495581,0.052437966690975606,0.05334875260224091,0.5
28 days,2144.2134611797283,46.30565258345603,37.81240879461679,0.053447435768284625,0.046157521623037726,0.051404205605085955,0.5555555555555556
29 days,2171.795583350381,46.60252764980008,38.90287179565704,0.05484194175756237,0.046157521623037726,0.05277561474968212,0.5555555555555556
30 days,2450.2836945592844,49.500340347913614,40.947558196431885,0.057635246253032374,0.046157521623037726,0.055300497413073954,0.5555555555555556
31 days,2422.5115534984793,49.219016177677496,40.549799138899644,0.05702978692761282,0.04504120322882062,0.054724950800757316,0.6111111111111112
32 days,2183.283000823242,46.72561396946264,38.69557772509873,0.054016412335373146,0.04504120322882062,0.05197340775779083,0.6111111111111112
33 days,2277.0781827403675,47.71874037252417,39.61254673908124,0.05586375628649784,0.04504120322882062,0.05368896821501577,0.6111111111111112
34 days,1796.061082410147,42.37996085899734,35.84713800333861,0.05049177183787941,0.041408900822902564,0.048750493300241074,0.6666666666666666
35 days,1562.9554466398604,39.534231327292304,33.6840221664448,0.046889145544503685,0.03868113371888324,0.04547387436216176,0.7222222222222222
36 days,1558.9724661719893,39.48382537409451,33.39556752169803,0.046492572221257494,0.03868113371888324,0.04508087002604502,0.7222222222222222
37 days,1629.0788597187536,40.36184906218685,34.82648293973589,0.04842877001343518,0.04148212498563942,0.04695225705547853,0.6666666666666666
38 days,1613.8886564902748,40.17323308485732,33.98082239454263,0.04723193882628876,0.04148212498563942,0.0457702127162933,0.6666666666666666
39 days,1452.9042307816171,38.1169808718059,31.78380485791355,0.044148090736153715,0.03868113371888324,0.042869897459978025,0.7222222222222222
40 days,1391.868231613588,37.307750288828565,29.990363447890086,0.0417607797177216,0.038378051590394854,0.04053574696428332,0.7222222222222222
41 days,1364.7025454898767,36.94188064365263,29.390059403134078,0.04081050464334797,0.033754583447671474,0.039613385302393146,0.7222222222222222
42 days,1227.600589967341,35.037131588749396,27.99147279481073,0.03858393183853147,0.033754583447671474,0.03752349354695353,0.7222222222222222
43 days,1220.5577048820091,34.936481003129224,27.41032944058186,0.03774342019654759,0.033754583447671474,0.0366757139582143,0.7222222222222222
44 days,1218.6881640114393,34.90971446476524,27.289147651976766,0.037479277350807284,0.033754583447671474,0.03641427293788924,0.7222222222222222
45 days,1157.7792357593933,34.02615517156461,25.781727135063477,0.03531389464537021,0.028931075697926786,0.0343139863413846,0.7222222222222222
46 days,1130.2357607376907,33.61897917453311,24.908207285948997,0.034365059073684714,0.026539754711697804,0.033383794642910955,0.7222222222222222
47 days,1102.8294321756669,33.208875804153124,23.846199882026568,0.032967647300887734,0.02261074718505844,0.03201047551426072,0.7222222222222222
48 days,773.6458444908961,27.8144898297793,21.232937388538396,0.028906693331678755,0.02261074718505844,0.02829901622970382,0.7777777777777778
49 days,734.5403943166284,27.102405692422,20.418174780249192,0.027512639843247363,0.021141254896819145,0.02697422463963945,0.7777777777777778
50 days,632.7841785149982,25.155201818212436,18.94681247676089,0.025224670305887525,0.021141254896819145,0.02478660191956485,0.8333333333333334
51 days,510.2882148168687,22.589559863283498,17.667758416692052,0.02260961650686984,0.021141254896819145,0.022454330441556394,0.8888888888888888
52 days,587.1072190536103,24.230295480113533,18.655748780438916,0.024381467165423647,0.021141254896819145,0.024134187366174193,0.8333333333333334
53 days,540.1514819011951,23.241159220253948,17.76692108275462,0.02363374118120065,0.021141254896819145,0.023361918883933387,0.8333333333333334
54 days,590.726264610323,24.304860925549914,19.220811237266805,0.02577532293802648,0.02261074718505844,0.025451614510098006,0.8333333333333334
55 days,659.3701281394397,25.678203366657872,19.994845921141675,0.026938603802676032,0.02261074718505844,0.026545693971291976,0.8333333333333334
56 days,772.0544654821922,27.785868089411785,22.42192227668118,0.030180209675452232,0.024293214151288378,0.029690049862656123,0.7777777777777778
57 days,867.7457413359674,29.457524358573778,23.973800876102885,0.03211579528455499,0.025081591157743457,0.03151727608343918,0.7222222222222222
58 days,891.5279804024117,29.85846580791471,25.07564208988503,0.033560788872194686,0.02627173425050066,0.03294188027887275,0.7222222222222222
59 days,891.7727093737147,29.862563677181413,25.082720265915142,0.033571129853219646,0.02627173425050066,0.03295200150161438,0.7222222222222222
60 days,1002.0305431906108,31.654866027051998,26.25600638619335,0.03594713104481767,0.02627173425050066,0.03517927485460036,0.7222222222222222
61 days,1103.453696707216,33.2182735359202,28.584121112423063,0.038993634519304404,0.03564571401066905,0.03814169031896776,0.6666666666666666
62 days,1142.2082562349524,33.79657166392698,29.72892088894111,0.04046784916221926,0.03925551490614218,0.03965122518452528,0.6666666666666666
63 days,1154.5720564199335,33.978994340915,30.26732540717487,0.04107098650119234,0.03925551490614218,0.0402632434545372,0.6666666666666666
64 days,1190.2093871227269,34.499411402554784,31.302207697093348,0.04213653866686195,0.03925551490614218,0.041306777579645085,0.6666666666666666
65 days,1263.7307757938902,35.54899120641667,33.14591946292172,0.04461608168296766,0.04453021847903328,0.0437211494200713,0.6666666666666666
66 days,1238.714564388584,35.19537703148787,32.80199313989724,0.04386384544066335,0.04316090362499708,0.043004487329654506,0.6666666666666666
67 days,1256.8822078638595,35.45253457601952,33.24234833090025,0.04467518080890551,0.04316090362499708,0.043769529466151195,0.6666666666666666
68 days,1543.6619959931782,39.28946418562078,36.22078852268566,0.04895867847984828,0.04453021847903328,0.04779517140113644,0.6111111111111112
69 days,1588.8166669620664,39.859963208237744,36.76752754216325,0.050038630935478196,0.04644129266809989,0.0487057317552519,0.5555555555555556
70 days,1867.5578813674624,43.215250564672914,38.86012608709467,0.05212526158165516,0.04644129266809989,0.05061883387521909,0.5555555555555556
71 days,1894.439684289567,43.52516150790904,39.430832743763645,0.052750235982263936,0.04644129266809989,0.05118937474288229,0.5555555555555556
