horizon,mse,rmse,mae,mape,mdape,smape,coverage
18 days,1412.3421301751955,37.58114061833668,30.026559376433365,0.0426639472133573,0.0413090566723419,0.04169005842743295,0.7222222222222222
19 days,1414.4064582697397,37.608595537054285,30.281442641924414,0.04304538561125343,0.0413090566723419,0.042074058015077215,0.7222222222222222
20 days,1400.1934158208276,37.41915840610031,29.491136854424514,0.042070625335727356,0.0413090566723419,0.04108806192220437,0.7222222222222222
21 days,1474.3081552974486,38.39672063207285,31.116677711741342,0.04429611079370354,0.04612834606650665,0.0432430767930239,0.7222222222222222
22 days,1429.5643614844662,37.80958028707098,30.125379031425066,0.04270750047634024,0.0413090566723419,0.04158308089958323,0.7222222222222222
23 days,1371.549093223546,37.034431185365136,28.72144921117287,0.0406828430820348,0.03623606770882268,0.03961626521377751,0.7222222222222222
24 days,1346.5767766522836,36.69573240381344,28.438723972128003,0.040328871156839335,0.03623606770882268,0.039058729357817644,0.7222222222222222
25 days,1400.4054527078595,37.42199156522618,29.79418574007988,0.04227569711515265,0.0413090566723419,0.041067944488124425,0.7222222222222222
26 days,1250.1686861246626,35.35772456090271,27.513259721639088,0.03941146903045793,0.03623606770882268,0.03834208487302462,0.7777777777777778
27 days,1257.8268227535325,35.46585432149538,28.01408054879363,0.04015311102733046,0.03623606770882268,0.039075908494377254,0.7777777777777778
28 days,1210.2688935411688,34.788919120046955,26.495375031259115,0.03776050335286006,0.026757864246717736,0.03673928643874756,0.7777777777777778
29 days,1204.2008979519057,34.701597916405895,25.915864948405442,0.036888842712687886,0.026757864246717736,0.03586071069807626,0.7777777777777778
30 days,1357.84664353513,36.84897072558649,27.462105569689843,0.03901048211239513,0.026757864246717736,0.03783060899143998,0.7222222222222222
31 days,1329.6399714163867,36.46422865516816,26.58217449880489,0.0377077848046362,0.01803500508914371,0.036558071879139814,0.7222222222222222
32 days,1121.1761458432238,33.4839684900584,24.28342873507114,0.03416490318782369,0.01803500508914371,0.03323694692405011,0.7777777777777778
33 days,1150.117460023673,33.91338172497212,24.746473444379042,0.035151600878741286,0.01803500508914371,0.034179763882965376,0.7222222222222222
34 days,780.9122114622537,27.944806520393975,20.539212441407862,0.029312730166099255,0.01759324684517522,0.028673545986260984,0.7777777777777778
35 days,793.544982140213,28.169930460336836,20.648454335618826,0.02853171603366734,0.01759324684517522,0.028190619291114796,0.7777777777777778
36 days,814.7581995816282,28.543969583462427,21.39416149065852,0.029460220922557494,0.01803500508914371,0.029136412788833038,0.7777777777777778
37 days,820.1119420678722,28.637596653138896,21.691073299063678,0.02984558613429886,0.01803500508914371,0.029512136770800487,0.7777777777777778
38 days,852.6474016104409,29.20012673962976,22.935154759239563,0.03139964231862558,0.022449075035464828,0.031092429270492754,0.7777777777777778
39 days,878.9338602549411,29.6468187206476,23.260822214468003,0.031861791087648354,0.022449075035464828,0.03173556965080796,0.7222222222222222
40 days,911.4143239593463,30.18963934795092,24.04516106902411,0.03303266201697103,0.02865578593912613,0.03295925166508499,0.7222222222222222
41 days,913.079349709702,30.21720287699876,24.13900771522878,0.033092314459838575,0.02865578593912613,0.033026392259969894,0.7222222222222222
42 days,821.360157131291,28.659381659960687,22.327455000865744,0.03053112245779453,0.0222886367629717,0.030549888565509095,0.7777777777777778
43 days,805.0885364877045,28.374082125906813,22.052410404619593,0.02972510884670331,0.0222886367629717,0.02971199029131165,0.7777777777777778
