ds,y,rain
2021-01-01,491,0
2021-01-02,522,1
2021-01-03,555,1
2021-01-04,569,0
2021-01-05,574,0
2021-01-06,550,0
2021-01-07,571,0
2021-01-08,561,1
2021-01-09,407,0
2021-01-10,530,1
2021-01-11,465,0
2021-01-12,632,1
2021-01-13,654,1
2021-01-14,599,0
2021-01-15,517,0
2021-01-16,475,0
2021-01-17,519,0
2021-01-18,468,0
2021-01-19,583,0
2021-01-20,610,0
2021-01-21,518,0
2021-01-22,555,0
2021-01-23,506,0
2021-01-24,494,0
2021-01-25,567,0
2021-01-26,737,1
2021-01-27,606,0
2021-01-28,582,0
2021-01-29,520,0
2021-01-30,483,0
2021-01-31,544,0
2021-02-01,535,0
2021-02-02,603,0
2021-02-03,678,1
2021-02-04,682,1
2021-02-05,635,1
2021-02-06,551,0
2021-02-07,516,0
2021-02-08,564,0
2021-02-09,583,0
2021-02-10,611,0
2021-02-11,610,0
2021-02-12,579,0
2021-02-13,584,1
2021-02-14,569,0
2021-02-15,624,0
2021-02-16,636,0
2021-02-17,691,0
2021-02-18,586,0
2021-02-19,530,0
2021-02-20,568,1
2021-02-21,677,1
2021-02-22,692,1
2021-02-23,712,1
2021-02-24,653,0
2021-02-25,665,1
2021-02-26,650,0
2021-02-27,554,0
2021-02-28,565,0
2021-03-01,623,0
2021-03-02,656,0
2021-03-03,659,0
2021-03-04,683,1
2021-03-05,598,0
2021-03-06,615,0
2021-03-07,609,0
2021-03-08,657,0
2021-03-09,714,1
2021-03-10,630,0
2021-03-11,710,1
2021-03-12,673,1
2021-03-13,598,0
2021-03-14,524,0
2021-03-15,741,1
2021-03-16,730,1
2021-03-17,733,1
2021-03-18,689,1
2021-03-19,547,0
2021-03-20,595,0
2021-03-21,582,0
2021-03-22,661,1
2021-03-23,621,0
2021-03-24,660,0
2021-03-25,693,0
2021-03-26,592,0
2021-03-27,529,0
2021-03-28,656,1
2021-03-29,615,0
2021-03-30,662,1
2021-03-31,671,0
2021-04-01,639,0
2021-04-02,704,1
2021-04-03,711,1
2021-04-04,620,0
2021-04-05,697,1
2021-04-06,631,0
2021-04-07,751,0
2021-04-08,649,0
2021-04-09,604,0
2021-04-10,576,0
2021-04-11,592,0
2021-04-12,621,0
2021-04-13,647,0
2021-04-14,658,0
2021-04-15,726,1
2021-04-16,587,0
2021-04-17,555,0
2021-04-18,669,1
2021-04-19,617,0
2021-04-20,708,0
2021-04-21,593,0
2021-04-22,678,0
2021-04-23,719,1
2021-04-24,592,1
2021-04-25,573,0
2021-04-26,691,1
2021-04-27,699,1
2021-04-28,647,0
2021-04-29,689,1
2021-04-30,651,0
2021-05-01,679,1
2021-05-02,698,1
2021-05-03,640,0
2021-05-04,623,0
2021-05-05,650,0
2021-05-06,653,0
2021-05-07,637,1
2021-05-08,668,1
2021-05-09,568,0
2021-05-10,602,0
2021-05-11,673,0
2021-05-12,674,0
2021-05-13,622,0
2021-05-14,623,0
2021-05-15,608,1
2021-05-16,588,0
2021-05-17,625,0
2021-05-18,716,1
2021-05-19,664,0
2021-05-20,669,1
2021-05-21,689,1
2021-05-22,548,0
2021-05-23,547,0
2021-05-24,632,0
2021-05-25,617,0
2021-05-26,605,0
2021-05-27,572,0
2021-05-28,592,0
2021-05-29,507,0
2021-05-30,607,0
2021-05-31,610,1
2021-06-01,681,0
2021-06-02,645,0
2021-06-03,607,0
2021-06-04,629,1
2021-06-05,549,0
2021-06-06,545,0
2021-06-07,697,1
2021-06-08,625,0
2021-06-09,714,1
2021-06-10,590,0
2021-06-11,555,0
2021-06-12,537,0
2021-06-13,485,0
2021-06-14,534,0
2021-06-15,714,1
2021-06-16,625,0
2021-06-17,586,0
2021-06-18,547,0
2021-06-19,529,0
2021-06-20,511,0
2021-06-21,541,0
